Day,Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,,,,,,,,,,,
11,2,5/26/2023,24.1,19,4:12 PM,Tesla,G 3/3,Y 2/3,Y,10.85,,,,,,,,,,,,,,,,,
11,3,5/26/2023,24.1,19,4:13 PM,Tesla,G 1/3,Y 2/3,Y,6.80,,,,,,,,,,,,,,,,,
11,4,5/26/2023,24.1,19,4:15 PM,Tesla,Y 1/3,G 1/3,Y,3.98,,,,,,,,,,,,,,,,,
11,5,5/26/2023,24.1,19,4:17 PM,Tesla,Y 3/3,G 1/3,Y,7.15,,,,,,,,,,,,,,,,,
11,6,5/26/2023,24.1,19,4:18 PM,Tesla,Y 3/3,G 2/3,Y,13.27,,,,,,,,,,,,,,,,,
11,7,5/26/2023,24.1,19,4:20 PM,Tesla,G 3/3,Y 1/3,Y,3.40,,,,,,,,,,,,,,,,,
11,8,5/26/2023,24.1,19,4:22 PM,Tesla,Y 2/3,G 2/3,Y,16.69,,,,,,,,,,,,,,,,,
11,9,5/26/2023,24.1,19,4:23 PM,Tesla,Y 1/3,G 2/3,Y,40.70,,,,,,,,,,,,,,,,,
11,1,5/26/2023,24.1,19,4:34 PM,Ros,G 1/3,Y 2/3,N,46.08,,,,,,,,,,,,,,,,,
11,2,5/26/2023,24.1,19,4:36 PM,Ros,G 3/3,Y 1/3,Y,20.15,,,,,,,,,,,,,,,,,
11,3,5/26/2023,24.1,19,4:38 PM,Ros,Y 1/3,G 2/3,Y,8.24,,,,,,,,,,,,,,,,,
11,4,5/26/2023,24.1,19,4:41 PM,Ros,Y 2/3,G 2/3,Y,47.30,,,,,,,,,,,,,,,,,
11,5,5/26/2023,24.1,19,4:43 PM,Ros,G 1/3,Y 3/3,Y,37.65,,,,,,,,,,,,,,,,,
11,6,5/26/2023,24.1,19,4:45 PM,Ros,Y 3/3,G 2/3,Y,31.41,,,,,,,,,,,,,,,,,
11,7,5/26/2023,24.1,19,4:48 PM,Ros,Y 1/3,G 1/3,Y,100.13,,,,,,,,,,,,,,,,,
11,8,5/26/2023,24.1,19,4:50 PM,Ros,G 3/3,Y 2/3,Y,14.98,,,,,,,,,,,,,,,,,
11,9,5/26/2023,24.1,19,4:52 PM,Ros,G 3/3,Y 3/3,Y,46.78,,,,,,,,,,,,,,,,,
